pair_index,geometry_stratum,C_img_signed,C_pe_signed,C_text_signed,A_img,A_pe,A_visual,in_V50,in_V25,G_PRE_POST
139,START|mild|2to4,0.00702035427094,0.0310179889202,0.0083237811923,0.00702035427094,0.0310179889202,0.391389432485,True,False,0.00821062922478
140,START|mild|lt2,-0.0164711475372,0.0841944112908,-0.00443078577518,0.0164711475372,0.0841944112908,0.664383561644,False,False,-0.00414092093706
141,END|mild|lt2,0.0167703032494,-0.0206951531582,0.0113339200616,0.0167703032494,0.0206951531582,0.393346379648,False,False,-0.000636242330074
142,END|mild|2to4,0.0424845218658,-0.013770472724,0.00643141195178,0.0424845218658,0.013770472724,0.52446183953,False,False,0.0113214030862
143,START|mild|lt2,0.0991131663322,0.0428076423705,-0.0155704170465,0.0991131663322,0.0428076423705,0.875733855186,False,False,-0.00272697210312
144,END|mild|lt2,0.0154134631157,0.0401369486935,0.00424371659756,0.0154134631157,0.0401369486935,0.535225048924,False,False,0.0024630650878
145,START|medium|lt2,0.0395708680153,0.00769362808205,0.00171465426683,0.0395708680153,0.00769362808205,0.460861056751,False,False,0.00919614732265
146,START|mild|lt2,0.0370145440102,0.04502260359,-0.00386818498373,0.0370145440102,0.04502260359,0.743639921722,False,False,0.00084114074707
147,START|mild|lt2,0.0334605574608,-0.0121936376672,0.00186132639647,0.0334605574608,0.0121936376672,0.448140900196,False,False,0.000771209597588
148,END|mild|2to4,-0.139312565327,-0.0575791234151,0.00434089452028,0.139312565327,0.0575791234151,0.937377690802,False,False,-0.0039347410202
149,START|mild|lt2,-0.000823080539703,-0.00329730566591,0.0162384659052,0.000823080539703,0.00329730566591,0.0518590998043,True,True,4.97177243233e-05
150,START|mild|2to4,-0.00689607858658,-0.0494490310084,0.00957729667425,0.00689607858658,0.0494490310084,0.499021526419,True,False,0.00910547375679
151,START|strong|ge4,0.121027231216,0.00325690186583,0.0186850205064,0.121027231216,0.00325690186583,0.527397260274,True,False,0.00514987111092
152,START|mild|lt2,-0.00586974620819,0.00338734686375,0.0135828182101,0.00586974620819,0.00338734686375,0.110567514677,True,True,-0.00210793316364
153,START|medium|lt2,0.0233266949654,-0.00964002078399,0.00724193826318,0.0233266949654,0.00964002078399,0.351272015656,True,False,0.00735917687416
154,START|mild|lt2,-0.00197970867157,0.0145773468539,0.000176176428795,0.00197970867157,0.0145773468539,0.179060665362,True,True,-0.000312432646751
155,START|mild|2to4,-0.0243346691132,0.0473550157622,0.0220317840576,0.0243346691132,0.0473550157622,0.6614481409,False,False,0.00110395252705
156,START|mild|lt2,0.0129318833351,-0.0233668182045,-0.00121726095676,0.0129318833351,0.0233668182045,0.379647749511,True,False,0.00298961997032
157,END|mild|lt2,-0.0203896164894,-0.0357039009687,-0.0118569284678,0.0203896164894,0.0357039009687,0.549902152642,False,False,-0.00116008520126
158,START|mild|lt2,0.0179175138474,0.0191866876557,-0.00570687651634,0.0179175138474,0.0191866876557,0.388454011742,True,False,-0.0027808919549
159,START|mild|lt2,0.024311542511,-0.0363160725683,-0.00682903826237,0.024311542511,0.0363160725683,0.598825831703,False,False,0.00476755201817
160,START|mild|2to4,0.0182348489761,-0.0192216946743,-0.0090107396245,0.0182348489761,0.0192216946743,0.390410958904,True,False,0.00298927724361
161,START|mild|lt2,0.0119749307632,0.0302658146247,3.36617231369e-05,0.0119749307632,0.0302658146247,0.432485322896,False,False,-0.00487675517797
162,START|mild|2to4,0.0262932181358,0.0464112705085,-0.00742280483246,0.0262932181358,0.0464112705085,0.666340508806,False,False,-0.00225883722305
163,START|mild|2to4,0.00564110279083,-0.0120497103781,-0.00475177168846,0.00564110279083,0.0120497103781,0.192759295499,True,True,0.00104144215584
164,END|mild|lt2,6.38961791992e-05,0.00316357077099,-0.0122282989323,6.38961791992e-05,0.00316357077099,0.0362035225049,True,True,0.000489205121994
165,START|mild|2to4,0.0263662338257,0.0204761603381,-0.000110782682896,0.0263662338257,0.0204761603381,0.477495107632,True,False,-0.00337178260088
166,START|medium|ge4,-0.0048206448555,-0.0422385837883,-0.0179510340095,0.0048206448555,0.0422385837883,0.442270058708,True,True,0.0104793682694
167,END|medium|ge4,0.155436635017,0.103911424056,-0.0141116827726,0.155436635017,0.103911424056,0.991193737769,False,False,0.0312228575349
168,START|mild|lt2,0.024071097374,0.0106999943964,0.0138042196631,0.024071097374,0.0106999943964,0.37084148728,True,False,0.000323101878166
169,START|mild|2to4,-0.0114783644676,0.0432171884459,-0.00752926245332,0.0114783644676,0.0432171884459,0.520547945205,True,False,-0.0033403262496
170,START|mild|lt2,0.00629109144211,0.0388367881533,0.0266974121332,0.00629109144211,0.0388367881533,0.441291585127,False,False,0.00744670629501
171,START|medium|2to4,0.0226996541023,-0.0208022100851,0.00351806543767,0.0226996541023,0.0208022100851,0.451076320939,True,False,0.0021678507328
172,START|mild|lt2,-0.00294721126556,0.0520086020697,-0.00113578140736,0.00294721126556,0.0520086020697,0.461839530333,False,False,-0.0025015771389
173,START|mild|2to4,0.0501091480255,0.0187263758853,0.00275228172541,0.0501091480255,0.0187263758853,0.605675146771,False,False,-0.00603030622005
174,START|medium|2to4,0.0527105927467,0.0705551810097,0.00035734474659,0.0527105927467,0.0705551810097,0.900195694716,False,False,0.0134208425879
175,START|mild|2to4,0.122564554214,0.143012499902,-0.00816548615694,0.122564554214,0.143012499902,0.991193737769,False,False,0.0038618594408
176,END|mild|lt2,-0.0165460705757,0.0152012878098,0.00447575747967,0.0165460705757,0.0152012878098,0.335616438356,True,False,-0.00550892949104
177,END|mild|2to4,0.0234813094139,-0.0681799552403,-0.00909883528948,0.0234813094139,0.0681799552403,0.720156555773,False,False,-0.00435335934162
178,END|medium|ge4,-0.00013530254364,0.00183380302042,0.0172089114785,0.00013530254364,0.00183380302042,0.0215264187867,True,True,0.0132282078266
179,START|mild|2to4,-0.000963985919952,0.00266110058874,0.0193242356181,0.000963985919952,0.00266110058874,0.045988258317,True,True,-0.00773319602013
180,END|mild|2to4,0.0432292222977,-0.000147562474012,0.0107683166862,0.0432292222977,0.000147562474012,0.384540117417,True,False,0.00783552229404
181,START|mild|2to4,0.0345171093941,-0.00383561779745,-0.0061297416687,0.0345171093941,0.00383561779745,0.37866927593,True,False,-0.0154376253486
182,END|mild|2to4,0.0324249863625,0.0280885063112,-0.00732113420963,0.0324249863625,0.0280885063112,0.58904109589,False,False,0.00263649225235
183,END|medium|2to4,0.0165356397629,0.0273851710372,0.0104857757688,0.0165356397629,0.0273851710372,0.447162426614,True,False,0.00086122751236
184,START|mild|2to4,0.0175041556358,0.00237245950848,0.0151186212897,0.0175041556358,0.00237245950848,0.213307240705,True,True,-0.00561438500881
185,START|mild|2to4,0.037988960743,0.0319478712045,0.011593401432,0.037988960743,0.0319478712045,0.667318982387,False,False,-0.00119841843843
186,START|medium|ge4,-0.0821768641472,0.0248041588347,0.0343064591289,0.0821768641472,0.0248041588347,0.722113502935,True,False,0.00625023245811
187,END|mild|2to4,0.0619658827782,-0.0156516442075,0.00648579001427,0.0619658827782,0.0156516442075,0.609589041096,False,False,0.00185815989971
188,START|mild|2to4,0.0167621970177,-0.0102098677307,-0.00357995182276,0.0167621970177,0.0102098677307,0.292563600783,True,True,-0.00158585608006
189,END|mild|lt2,0.00432026386261,-0.0618299285416,0.000211790204048,0.00432026386261,0.0618299285416,0.505870841487,False,False,0.00461173802614
190,START|mild|lt2,0.0128363370895,-0.0161059496459,-0.00606773048639,0.0128363370895,0.0161059496459,0.312133072407,True,False,-0.000800296664238
191,START|mild|lt2,0.0131949186325,-0.0338834926952,0.012008190155,0.0131949186325,0.0338834926952,0.472602739726,False,False,0.00108598172665
192,END|mild|2to4,0.00490707159042,0.00762970140204,0.0135279744864,0.00490707159042,0.00762970140204,0.149706457926,True,True,0.00495824217796
193,START|mild|2to4,0.0103514790535,0.029466742184,0.00960047543049,0.0103514790535,0.029466742184,0.409980430528,True,False,0.00747586041689
194,START|mild|2to4,-0.00679051876068,-0.041895466391,-0.00908303260803,0.00679051876068,0.041895466391,0.464774951076,True,False,6.98640942574e-05
195,START|mild|lt2,0.000904440879822,0.0293206030037,0.000701691955328,0.000904440879822,0.0293206030037,0.302348336595,True,False,-0.0011875256896
196,END|strong|2to4,0.0105863213539,0.0159321250394,-0.0154554769397,0.0105863213539,0.0159321250394,0.287671232877,True,False,0.00937033444643
197,START|mild|2to4,-0.0065626502037,0.0539367496967,-0.0245828256011,0.0065626502037,0.0539367496967,0.513698630137,True,False,0.00184379518032
