pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,latent_shift,latent_band,in_balanced_subset,content_asymmetry,m_top_pre_A,m_top_pre_B,m_top_control_A,m_top_control_B,m_top_treatment_A,m_top_treatment_B,m_bot_pre_A,m_bot_pre_B,m_bot_control_A,m_bot_control_B,m_bot_treatment_A,m_bot_treatment_B,f_top_pre_A,f_top_pre_B,f_top_control_A,f_top_control_B,f_top_treatment_A,f_top_treatment_B,f_bot_pre_A,f_bot_pre_B,f_bot_control_A,f_bot_control_B,f_bot_treatment_A,f_bot_treatment_B,i_top_C0/T0,i_top_C0/T1,i_top_C1/T0,i_top_C1/T1,i_bot_C0/T0,i_bot_C0/T1,i_bot_C1/T0,i_bot_C1/T1,i_g_C0/T0,i_g_C0/T1,i_g_C1/T0,i_g_C1/T1
10,data/1_2024/shard-000477.tar,124375,START,mild,11,80,91,347,-34.5,2.15625,2to4,False,0.0097466259999999996,0.0033072754740715027,0.0033072754740715027,0.0034174993634223938,0.0034174993634223938,0.0029184073209762573,0.0029184073209762573,0.001444794237613678,0.001444794237613678,0.00066720694303512573,0.00066720694303512573,0.0014382228255271912,0.0014382228255271912,0,0,0,0,0,0,0,0,0,0,0,0,-0.00049909204244613647,-0.00049909204244613647,-0.00049909204244613647,-0.00049909204244613647,0.00077101588249206543,0.00077101588249206543,0.00077101588249206543,0.00077101588249206543,-0.0012701079249382019,-0.0012701079249382019,-0.0012701079249382019,-0.0012701079249382019
11,data/1_2024/shard-000477.tar,124503,END,mild,4,65,69,325,-30.5,1.90625,lt2,True,0.004446335,0.0022469833493232727,0.0022469833493232727,0.0019550696015357971,0.0019550696015357971,0.0023575276136398315,0.0023575276136398315,0.0088037624955177307,0.0088037624955177307,0.008612312376499176,0.008612312376499176,0.0083900690078735352,0.0083900690078735352,0,0,0,0,0,0,0,0,0,0,0,0,0.00040245801210403442,0.00040245801210403442,0.00040245801210403442,0.00040245801210403442,-0.00022224336862564087,-0.00022224336862564087,-0.00022224336862564087,-0.00022224336862564087,0.00062470138072967529,0.00062470138072967529,0.00062470138072967529,0.00062470138072967529
12,data/1_2024/shard-000477.tar,133375,START,medium,26,166,192,448,-70,4.375,ge4,True,3.5166999999999997e-05,0.0065462663769721985,0.0065462663769721985,0.0055237412452697754,0.0055237412452697754,0.0067920535802841187,0.0067920535802841187,0.0049926042556762695,0.0049926042556762695,0.010525569319725037,0.010525569319725037,0.0084333941340446472,0.0084333941340446472,0,0,0,0,0,0,0,0,0,0,0,0,0.0012683123350143433,0.0012683123350143433,0.0012683123350143433,0.0012683123350143433,-0.0020921751856803894,-0.0020921751856803894,-0.0020921751856803894,-0.0020921751856803894,0.0033604875206947327,0.0033604875206947327,0.0033604875206947327,0.0033604875206947327
13,data/1_2024/shard-000477.tar,169503,START,mild,7,99,106,362,-46,2.875,2to4,True,0.003250092,0.0040694177150726318,0.0040694177150726318,0.0049951374530792236,0.0049951374530792236,0.0034526586532592773,0.0034526586532592773,0.0019831061363220215,0.0019831061363220215,0.0016296356916427612,0.0016296356916427612,0.0018376260995864868,0.0018376260995864868,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015424787998199463,-0.0015424787998199463,-0.0015424787998199463,-0.0015424787998199463,0.00020799040794372559,0.00020799040794372559,0.00020799040794372559,0.00020799040794372559,-0.0017504692077636719,-0.0017504692077636719,-0.0017504692077636719,-0.0017504692077636719
14,data/1_2024/shard-000477.tar,172375,END,mild,0,103,103,359,-51.5,3.21875,2to4,False,0.0098608429999999993,0.0039484798908233643,0.0039484798908233643,0.0045977085828781128,0.0045977085828781128,0.0044244974851608276,0.0044244974851608276,0.0012571066617965698,0.0012571066617965698,0.0013137608766555786,0.0013137608766555786,0.00047075748443603516,0.00047075748443603516,0,0,0,0,0,0,0,0,0,0,0,0,-0.00017321109771728516,-0.00017321109771728516,-0.00017321109771728516,-0.00017321109771728516,-0.00084300339221954346,-0.00084300339221954346,-0.00084300339221954346,-0.00084300339221954346,0.0006697922945022583,0.0006697922945022583,0.0006697922945022583,0.0006697922945022583
15,data/1_2024/shard-000477.tar,177503,END,medium,28,118,146,402,-45,2.8125,2to4,False,0.013872109000000001,0.00067427754402160645,0.00067427754402160645,0.00066103041172027588,0.00066103041172027588,0.0016034431755542755,0.0016034431755542755,-0.0097048431634902954,-0.0097048431634902954,-0.0083318650722503662,-0.0083318650722503662,-0.008013550192117691,-0.008013550192117691,0,0,0,0,0,0,0,0,0,0,0,0,0.00094241276383399963,0.00094241276383399963,0.00094241276383399963,0.00094241276383399963,0.00031831488013267517,0.00031831488013267517,0.00031831488013267517,0.00031831488013267517,0.00062409788370132446,0.00062409788370132446,0.00062409788370132446,0.00062409788370132446
16,data/1_2024/shard-000477.tar,182503,START,mild,4,81,85,341,-38.5,2.40625,2to4,True,0.0014519540000000001,0.0012469366192817688,0.0012019872665405273,0.00053131580352783203,0.0005634799599647522,0.001337490975856781,0.0013065561652183533,0.0013447403907775879,0.0013435035943984985,0.0013033747673034668,0.0011730045080184937,0.0011791959404945374,0.0011833533644676208,0,1.9088387489318848e-05,-1.2055039405822754e-05,-3.5472214221954346e-05,4.0084123611450195e-06,0,0,3.9815902709960938e-05,7.845461368560791e-05,-8.9049339294433594e-05,1.7732381820678711e-05,0,0.0007901117205619812,0.00076318532228469849,0.00073453038930892944,0.00070760399103164673,-6.3456594944000244e-05,-4.1566789150238037e-05,-0.0001005902886390686,-7.8700482845306396e-05,0.00085356831550598145,0.00080475211143493652,0.00083512067794799805,0.00078630447387695312
17,data/1_2024/shard-000477.tar,183503,START,medium,61,136,197,453,-37.5,2.34375,2to4,True,0.0019473279999999999,0.0014242231845855713,0.0014242231845855713,0.001306578516960144,0.001306578516960144,0.0015105456113815308,0.0015105456113815308,0.00058469176292419434,0.00058469176292419434,0.00040034949779510498,0.00040034949779510498,-0.00036501884460449219,-0.00036501884460449219,0,0,0,0,0,0,0,0,0,0,0,0,0.00020396709442138672,0.00020396709442138672,0.00020396709442138672,0.00020396709442138672,-0.00076536834239959717,-0.00076536834239959717,-0.00076536834239959717,-0.00076536834239959717,0.00096933543682098389,0.00096933543682098389,0.00096933543682098389,0.00096933543682098389
18,data/1_2024/shard-000477.tar,231503,END,mild,24,82,106,362,-29,1.8125,lt2,False,0.011493534,0.0023300051689147949,0.0023300051689147949,0.00045941770076751709,0.00045941770076751709,0.0021993666887283325,0.0021993666887283325,0.0017248988151550293,0.0017248988151550293,0.0016747415065765381,0.0016747415065765381,0.0012041926383972168,0.0012041926383972168,0,0,0,0,0,0,0,0,0,0,0,0,0.0017399489879608154,0.0017399489879608154,0.0017399489879608154,0.0017399489879608154,-0.00047054886817932129,-0.00047054886817932129,-0.00047054886817932129,-0.00047054886817932129,0.0022104978561401367,0.0022104978561401367,0.0022104978561401367,0.0022104978561401367
19,data/1_2024/shard-000477.tar,240503,START,mild,21,60,81,337,-19.5,1.21875,lt2,True,0.001581013,0.0020605325698852539,0.0020605325698852539,0.0016956925392150879,0.0016956925392150879,0.0022099316120147705,0.0022099316120147705,0.0010924339294433594,0.0010924339294433594,0.0011254698038101196,0.0011254698038101196,0.00112113356590271,0.00112113356590271,0,0,0,0,0,0,0,0,0,0,0,0,0.00051423907279968262,0.00051423907279968262,0.00051423907279968262,0.00051423907279968262,-4.336237907409668e-06,-4.336237907409668e-06,-4.336237907409668e-06,-4.336237907409668e-06,0.00051857531070709229,0.00051857531070709229,0.00051857531070709229,0.00051857531070709229
20,data/1_2024/shard-000477.tar,273503,END,mild,27,80,107,363,-26.5,1.65625,lt2,True,0.00061161799999999997,-0.00045480579137802124,-0.00045480579137802124,-0.00079359859228134155,-0.00079359859228134155,0.00011665374040603638,0.00011665374040603638,-0.0015695244073867798,-0.0015695244073867798,-0.0019882917404174805,-0.0019882917404174805,-0.0010462626814842224,-0.0010462626814842224,0,0,0,0,0,0,0,0,0,0,0,0,0.00091025233268737793,0.00091025233268737793,0.00091025233268737793,0.00091025233268737793,0.00094202905893325806,0.00094202905893325806,0.00094202905893325806,0.00094202905893325806,-3.1776726245880127e-05,-3.1776726245880127e-05,-3.1776726245880127e-05,-3.1776726245880127e-05
21,data/1_2024/shard-000477.tar,274503,END,mild,26,59,85,341,-16.5,1.03125,lt2,True,0.0081298719999999998,0.0019851773977279663,0.0019851773977279663,0.0014814063906669617,0.0014814063906669617,0.001906856894493103,0.001906856894493103,0.00042825192213058472,0.00042825192213058472,0.00033889710903167725,0.00033889710903167725,-0.00033947080373764038,-0.00033947080373764038,0,0,0,0,0,0,0,0,0,0,0,0,0.00042545050382614136,0.00042545050382614136,0.00042545050382614136,0.00042545050382614136,-0.00067836791276931763,-0.00067836791276931763,-0.00067836791276931763,-0.00067836791276931763,0.001103818416595459,0.001103818416595459,0.001103818416595459,0.001103818416595459
22,data/1_2024/shard-000477.tar,278375,END,strong,78,166,244,500,-44,2.75,2to4,False,0.014548093,0.0079930573701858521,0.0079930573701858521,0.0069802552461624146,0.0069802552461624146,0.0076978951692581177,0.0076978951692581177,0.0076990947127342224,0.0076990947127342224,0.0067671388387680054,0.0067671388387680054,0.0066834092140197754,0.0066834092140197754,0,0,0,0,0,0,0,0,0,0,0,0,0.00071763992309570312,0.00071763992309570312,0.00071763992309570312,0.00071763992309570312,-8.372962474822998e-05,-8.372962474822998e-05,-8.372962474822998e-05,-8.372962474822998e-05,0.00080136954784393311,0.00080136954784393311,0.00080136954784393311,0.00080136954784393311
23,data/1_2024/shard-000477.tar,305503,END,strong,13,219,232,488,-103,6.4375,ge4,False,0.042252540999999998,0.0026229992508888245,0.0026229992508888245,0.0013509169220924377,0.0013509169220924377,0.0017770156264305115,0.0017770156264305115,0.0055161081254482269,0.0055161081254482269,0.0052764713764190674,0.0052764713764190674,0.0063330195844173431,0.0063330195844173431,0,0,0,0,0,0,0,0,0,0,0,0,0.00042609870433807373,0.00042609870433807373,0.00042609870433807373,0.00042609870433807373,0.0010565482079982758,0.0010565482079982758,0.0010565482079982758,0.0010565482079982758,-0.00063044950366020203,-0.00063044950366020203,-0.00063044950366020203,-0.00063044950366020203
24,data/1_2024/shard-000477.tar,331503,END,mild,5,97,102,358,-46,2.875,2to4,False,0.0090756570000000009,0.0028335303068161011,0.002847716212272644,0.0035326778888702393,0.0035326778888702393,0.0026868432760238647,0.0026709437370300293,0.027913287281990051,0.0279274582862854,0.02673734724521637,0.026736974716186523,0.028551407158374786,0.02863311767578125,0,-2.9452145099639893e-05,-6.4671039581298828e-06,0,0,-1.6391277313232422e-06,0,0,0,0,-4.1857361793518066e-05,-2.2396445274353027e-05,-0.00085230171680450439,-0.0008665621280670166,-0.00084583461284637451,-0.00086009502410888672,0.0018559172749519348,0.0019181668758392334,0.001856289803981781,0.0019185394048690796,-0.0027082189917564392,-0.00278472900390625,-0.0027021244168281555,-0.0027786344289779663
25,data/1_2024/shard-000477.tar,335503,END,mild,5,88,93,349,-41.5,2.59375,2to4,True,0.003607959,-0.0017863214015960693,-0.0017863214015960693,-0.0015371516346931458,-0.0015371516346931458,-0.00064570456743240356,-0.00064570456743240356,0.0099408924579620361,0.0099408924579620361,0.0092721804976463318,0.0092721804976463318,0.0088059753179550171,0.0088059753179550171,0,0,0,0,0,0,0,0,0,0,0,0,0.00089144706726074219,0.00089144706726074219,0.00089144706726074219,0.00089144706726074219,-0.0004662051796913147,-0.0004662051796913147,-0.0004662051796913147,-0.0004662051796913147,0.0013576522469520569,0.0013576522469520569,0.0013576522469520569,0.0013576522469520569
26,data/1_2024/shard-000477.tar,346503,END,mild,6,102,108,364,-48,3,2to4,True,0.0028176830000000001,0.00084760785102844238,0.00084760785102844238,0.00040337443351745605,0.00040337443351745605,0.00095455348491668701,0.00095455348491668701,0.010028183460235596,0.010028183460235596,0.010033801198005676,0.010033801198005676,0.0093277990818023682,0.0093277990818023682,0,0,0,0,0,0,0,0,0,0,0,0,0.00055117905139923096,0.00055117905139923096,0.00055117905139923096,0.00055117905139923096,-0.00070600211620330811,-0.00070600211620330811,-0.00070600211620330811,-0.00070600211620330811,0.0012571811676025391,0.0012571811676025391,0.0012571811676025391,0.0012571811676025391
27,data/1_2024/shard-000477.tar,364375,START,mild,6,91,97,353,-42.5,2.65625,2to4,False,0.027837700999999999,0.001434817910194397,0.001434817910194397,0.0019747242331504822,0.0019747242331504822,0.0012656226754188538,0.0012827664613723755,0.0077834278345108032,0.0077954679727554321,0.0093197599053382874,0.0093197599053382874,0.0088732913136482239,0.0088732913136482239,0,0,0,0,0,1.7143785953521729e-05,0,1.2040138244628906e-05,0,0,0,0,-0.00070910155773162842,-0.00070910155773162842,-0.00070910155773162842,-0.00070910155773162842,-0.00044646859169006348,-0.00044646859169006348,-0.00044646859169006348,-0.00044646859169006348,-0.00026263296604156494,-0.00026263296604156494,-0.00026263296604156494,-0.00026263296604156494
28,data/1_2024/shard-000477.tar,406503,END,mild,10,52,62,318,-21,1.3125,lt2,True,0.0041873750000000001,0.0019924715161323547,0.0019713267683982849,0.0020728409290313721,0.0020254552364349365,0.0022791475057601929,0.0022868216037750244,0.00066234171390533447,0.00070623308420181274,0.001257091760635376,0.0012895911931991577,0.00098790973424911499,0.00098790973424911499,-8.3595514297485352e-06,4.0531158447265625e-06,0,-0.00010403990745544434,9.326636791229248e-05,-3.2149255275726318e-05,0,2.393871545791626e-05,0,-1.0803341865539551e-06,0,3.643333911895752e-06,0.00011304020881652832,0.00024612993001937866,5.6385993957519531e-05,0.00018947571516036987,-0.00026918202638626099,-0.00027282536029815674,-0.00030276179313659668,-0.00030640512704849243,0.00038222223520278931,0.0005189552903175354,0.00035914778709411621,0.0004958808422088623
29,data/1_2024/shard-000477.tar,448503,START,mild,3,54,57,313,-25.5,1.59375,lt2,True,0.0062571240000000002,0.011334151029586792,0.011334151029586792,0.011825844645500183,0.011825844645500183,0.01132674515247345,0.01132674515247345,0.0021586418151855469,0.0021586418151855469,0.0022239387035369873,0.0022239387035369873,0.0025240331888198853,0.0025240331888198853,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004990994930267334,-0.0004990994930267334,-0.0004990994930267334,-0.0004990994930267334,0.00030009448528289795,0.00030009448528289795,0.00030009448528289795,0.00030009448528289795,-0.00079919397830963135,-0.00079919397830963135,-0.00079919397830963135,-0.00079919397830963135
30,data/1_2024/shard-000477.tar,473375,END,mild,19,66,85,341,-23.5,1.46875,lt2,True,0.0068654340000000001,0.0046700388193130493,0.0046700388193130493,0.0048653930425643921,0.0048653930425643921,0.0048369318246841431,0.0048369318246841431,0.0020955651998519897,0.0020955651998519897,0.0024692565202713013,0.0024692565202713013,0.0023110955953598022,0.0023110955953598022,0,0,0,0,0,0,0,0,0,0,0,0,-2.8461217880249023e-05,-2.8461217880249023e-05,-2.8461217880249023e-05,-2.8461217880249023e-05,-0.00015816092491149902,-0.00015816092491149902,-0.00015816092491149902,-0.00015816092491149902,0.00012969970703125,0.00012969970703125,0.00012969970703125,0.00012969970703125
31,data/1_2024/shard-000477.tar,476375,START,mild,21,69,90,346,-24,1.5,lt2,False,0.01159586,0.0015551596879959106,0.0015432387590408325,0.00080324709415435791,0.0008045583963394165,0.0031186491250991821,0.0031446665525436401,0.014653876423835754,0.014624342322349548,0.014953643083572388,0.014928951859474182,0.012796863913536072,0.012793347239494324,-9.1195106506347656e-06,4.3913722038269043e-05,-4.5299530029296875e-06,1.6927719116210938e-05,-2.6285648345947266e-05,6.2882900238037109e-06,0,4.6938657760620117e-06,-2.1547079086303711e-05,0,3.5166740417480469e-06,-2.3424625396728516e-05,0.0023371577262878418,0.0023306012153625488,0.0023573040962219238,0.0023507475852966309,-0.0021818429231643677,-0.0021584182977676392,-0.0021356046199798584,-0.0021121799945831299,0.0045190006494522095,0.004489019513130188,0.0044929087162017822,0.0044629275798797607
32,data/1_2024/shard-000477.tar,487375,END,mild,25,60,85,341,-17.5,1.09375,lt2,False,0.011692964,0.0012599900364875793,0.0012599900364875793,0.0013384819030761719,0.0013384819030761719,0.0015271455049514771,0.0015271455049514771,-0.00087548792362213135,-0.00087548792362213135,-0.00072856619954109192,-0.00072856619954109192,-0.00077857449650764465,-0.00077857449650764465,0,0,0,0,0,0,0,0,0,0,0,0,0.00018866360187530518,0.00018866360187530518,0.00018866360187530518,0.00018866360187530518,-5.0008296966552734e-05,-5.0008296966552734e-05,-5.0008296966552734e-05,-5.0008296966552734e-05,0.00023867189884185791,0.00023867189884185791,0.00023867189884185791,0.00023867189884185791
33,data/1_2024/shard-000477.tar,518503,END,strong,28,211,239,495,-91.5,5.71875,ge4,True,6.3888999999999998e-05,0.012374594807624817,0.012374594807624817,0.012042559683322906,0.012042559683322906,0.012611381709575653,0.012611381709575653,0.00032531097531318665,0.00032531097531318665,-0.00092419981956481934,-0.00092419981956481934,-0.0006848946213722229,-0.0006848946213722229,0,0,0,0,0,0,0,0,0,0,0,0,0.00056882202625274658,0.00056882202625274658,0.00056882202625274658,0.00056882202625274658,0.00023930519819259644,0.00023930519819259644,0.00023930519819259644,0.00023930519819259644,0.00032951682806015015,0.00032951682806015015,0.00032951682806015015,0.00032951682806015015
34,data/1_2024/shard-000477.tar,533375,END,medium,39,83,122,378,-22,1.375,lt2,True,0.0065686110000000002,0.0032416731119155884,0.0032416731119155884,0.0032839328050613403,0.0032839328050613403,0.0026472508907318115,0.0026472508907318115,-0.0017763823270797729,-0.0017763823270797729,-0.0015532076358795166,-0.0015532076358795166,-0.0025558769702911377,-0.0025558769702911377,0,0,0,0,0,0,0,0,0,0,0,0,-0.00063668191432952881,-0.00063668191432952881,-0.00063668191432952881,-0.00063668191432952881,-0.0010026693344116211,-0.0010026693344116211,-0.0010026693344116211,-0.0010026693344116211,0.00036598742008209229,0.00036598742008209229,0.00036598742008209229,0.00036598742008209229
35,data/1_2024/shard-000477.tar,542375,START,mild,5,53,58,314,-24,1.5,lt2,False,0.015557632,0.00027485191822052002,0.00027485191822052002,0.00033441931009292603,0.00033441931009292603,-0.00024428963661193848,-0.00024428963661193848,0.0035413950681686401,0.0035413950681686401,0.003725491464138031,0.003725491464138031,0.0044739693403244019,0.0044739693403244019,0,0,0,0,0,0,0,0,0,0,0,0,-0.0005787089467048645,-0.0005787089467048645,-0.0005787089467048645,-0.0005787089467048645,0.00074847787618637085,0.00074847787618637085,0.00074847787618637085,0.00074847787618637085,-0.0013271868228912354,-0.0013271868228912354,-0.0013271868228912354,-0.0013271868228912354
36,data/1_2024/shard-000477.tar,551503,START,medium,13,187,200,456,-87,5.4375,ge4,False,0.0098178980000000002,0.010733768343925476,0.010733768343925476,0.012045741081237793,0.012045741081237793,0.011910751461982727,0.011853829026222229,0.0089153647422790527,0.0089153647422790527,0.0088341981172561646,0.0088341981172561646,0.010876327753067017,0.010819002985954285,0,0,0,0,0,0,0,0,0,0,0,0,-0.00013498961925506592,-0.00019191205501556396,-0.00013498961925506592,-0.00019191205501556396,0.0020421296358108521,0.0019848048686981201,0.0020421296358108521,0.0019848048686981201,-0.002177119255065918,-0.0021767169237136841,-0.002177119255065918,-0.0021767169237136841
37,data/1_2024/shard-000477.tar,552503,END,mild,23,88,111,367,-32.5,2.03125,2to4,True,0.0061761070000000001,0.00029312074184417725,0.00029312074184417725,0.0003542974591255188,0.0003542974591255188,0.00068367272615432739,0.00069154053926467896,0.0029052048921585083,0.0029052048921585083,0.0036492273211479187,0.0036492273211479187,0.0025774240493774414,0.0025774240493774414,0,0,0,0,0,7.8678131103515625e-06,0,0,0,0,0,0,0.00032937526702880859,0.00032937526702880859,0.00032937526702880859,0.00032937526702880859,-0.0010718032717704773,-0.0010718032717704773,-0.0010718032717704773,-0.0010718032717704773,0.0014011785387992859,0.0014011785387992859,0.0014011785387992859,0.0014011785387992859
