unit,cohort,sample_id,source_shard,target,orientation,zoom,latent_shift,norm_offset,pixel_shift,opp_na,strict_identity,PRE_L_CORRECT,PRE_L_IDENTITY,PRE_M_IDENTITY,PRE_M_OPPOSITE,PRE_M_SHUFFLED,PRE_S_OPPOSITE_relrms,PRE_best3,MID_L_CORRECT,MID_L_IDENTITY,MID_M_IDENTITY,MID_M_OPPOSITE,MID_M_SHUFFLED,MID_S_OPPOSITE_relrms,MID_best3,POST_L_CORRECT,POST_L_IDENTITY,POST_M_IDENTITY,POST_M_OPPOSITE,POST_M_SHUFFLED,POST_S_OPPOSITE_relrms,POST_best3
1814,camera,1181375,data/1_2024/shard-000477.tar,256x256,vertical,1.1826,3.188,0.0000,-51.0,0,0,0.194682,0.191015,-0.003667,0.000497,-0.000343,0.070407,0.000,0.190510,0.189690,-0.000820,0.000877,0.000494,0.031989,0.000,0.189549,0.189691,0.000142,0.001365,0.000871,0.032021,0.250
1815,camera,7849375,data/1_2024/shard-000477.tar,256x256,vertical,1.1792,2.000,0.8200,32.0,0,0,0.742720,0.742973,0.000254,0.000061,-0.002507,0.096385,0.250,0.736286,0.739876,0.003590,0.003029,0.000380,0.051647,0.250,0.733500,0.741865,0.008365,0.005823,0.001609,0.066350,0.250
1816,camera,48375,data/1_2024/shard-000477.tar,256x256,horizontal,1.1541,0.469,0.5882,7.5,0,0,0.641953,0.643791,0.001838,-0.000196,0.000726,0.015963,0.500,0.642230,0.642718,0.000488,0.000135,0.000180,0.013985,0.250,0.644022,0.645235,0.001212,0.000095,0.000303,0.016610,0.250
1817,camera,8335375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,0.125,0.5189,2.0,0,0,0.474663,0.474648,-0.000015,0.000168,0.001325,0.009732,0.500,0.473854,0.474243,0.000389,-0.000155,0.003037,0.006937,0.500,0.474921,0.474808,-0.000113,-0.000203,0.003226,0.006544,0.250
1818,camera,8094375,data/1_2024/shard-000477.tar,256x256,horizontal,1.3332,1.031,0.4171,-16.5,0,0,0.467421,0.463569,-0.003853,0.002845,0.001769,0.033515,0.250,0.462477,0.466045,0.003568,0.002109,0.005936,0.030163,0.500,0.460998,0.465128,0.004130,0.001362,0.004465,0.027351,0.500
1819,camera,6622375,data/1_2024/shard-000477.tar,256x256,horizontal,1.2609,3.156,0.8344,50.5,0,0,0.823803,0.832232,0.008429,0.020200,-0.005470,0.165809,0.250,0.821308,0.831346,0.010037,0.000773,-0.003150,0.078542,0.250,0.821101,0.831985,0.010884,0.002352,0.000035,0.080860,0.250
1820,camera,1579375,data/1_2024/shard-000477.tar,256x256,vertical,1.1842,1.719,0.2330,-27.5,0,0,0.769422,0.770144,0.000722,0.000015,0.005756,0.066486,0.250,0.765970,0.769663,0.003693,0.001976,0.005542,0.051947,0.250,0.766322,0.771472,0.005151,0.004837,0.006873,0.062440,0.500
1821,camera,4531375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,1.531,0.2118,-24.5,0,0,0.410004,0.411685,0.001681,0.002128,0.002696,0.040902,0.750,0.408767,0.411739,0.002971,0.002523,0.002035,0.029772,0.750,0.408956,0.412097,0.003141,0.003105,0.002739,0.030105,1.000
1822,camera,798375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,1.781,0.1647,-28.5,0,0,0.503718,0.506081,0.002363,0.004830,0.007404,0.057189,0.500,0.506342,0.507960,0.001618,0.003115,0.003576,0.044537,1.000,0.507248,0.508373,0.001125,0.003305,0.004507,0.047263,0.750
1823,camera,2345375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,1.031,0.3059,-16.5,0,0,0.431206,0.430236,-0.000970,0.001513,0.002207,0.023721,0.000,0.429264,0.430498,0.001233,0.001827,0.001928,0.022134,0.250,0.429386,0.430174,0.000787,0.000885,0.001038,0.018510,0.500
1824,camera,1078375,data/1_2024/shard-000477.tar,256x256,vertical,1.1826,3.125,0.9902,50.0,0,0,0.400263,0.395189,-0.005074,-0.001251,-0.002076,0.082082,0.000,0.397268,0.396753,-0.000515,-0.001565,-0.000822,0.056313,0.000,0.397565,0.395949,-0.001616,-0.000927,-0.000507,0.048042,0.000
1825,camera,7679375,data/1_2024/shard-000477.tar,256x256,vertical,1.1075,0.812,0.2759,-13.0,0,0,0.842211,0.844171,0.001960,0.002372,0.006043,0.055565,0.250,0.842814,0.844919,0.002105,-0.000625,0.002215,0.028274,0.250,0.843208,0.846035,0.002828,-0.000665,0.002000,0.027854,0.000
1826,camera,3214375,data/1_2024/shard-000477.tar,256x256,vertical,1.1575,2.406,0.9425,38.5,0,0,0.376345,0.374576,-0.001769,-0.000411,0.013111,0.067797,0.250,0.375616,0.374870,-0.000746,-0.001801,0.000961,0.045361,0.500,0.374795,0.373562,-0.001233,-0.002322,0.000903,0.050108,0.250
1827,camera,2115375,data/1_2024/shard-000477.tar,256x256,vertical,1.1759,1.625,0.2347,-26.0,0,0,0.573071,0.573686,0.000615,0.002858,0.000727,0.043054,0.250,0.570475,0.572726,0.002251,0.003629,0.000287,0.038555,0.750,0.570466,0.573182,0.002716,0.004172,0.000178,0.041379,0.750
1828,camera,6680375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,0.875,0.6321,14.0,0,0,0.385505,0.386851,0.001346,-0.001483,-0.000111,0.054281,0.000,0.382908,0.385755,0.002847,0.000424,0.000498,0.023037,0.500,0.383409,0.386857,0.003449,0.000172,0.000211,0.022318,0.250
1829,camera,6185375,data/1_2024/shard-000477.tar,256x256,vertical,1.1004,0.375,0.6111,6.0,0,0,0.477248,0.478014,0.000767,0.000365,0.001310,0.018794,0.500,0.479521,0.479653,0.000132,-0.001430,-0.000822,0.023068,0.500,0.477658,0.476938,-0.000720,-0.001937,-0.001668,0.025065,0.000
1830,camera,5862375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,0.969,0.6824,15.5,0,0,0.589503,0.589332,-0.000171,0.000409,0.003012,0.027735,0.250,0.589315,0.589446,0.000131,0.000614,0.000709,0.032056,0.250,0.590184,0.590268,0.000084,0.000384,0.001006,0.030659,0.250
1831,camera,7981375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,0.438,0.4340,-7.0,0,0,0.634075,0.640365,0.006291,-0.001338,-0.000505,0.030762,0.000,0.628407,0.641289,0.012882,0.001327,0.002021,0.026026,0.250,0.630288,0.643121,0.012833,0.000622,0.000533,0.019739,0.250
1832,camera,4654375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,1.500,0.2736,-24.0,0,0,0.466658,0.464239,-0.002418,-0.000577,0.060351,0.049950,0.000,0.463304,0.461918,-0.001386,-0.001232,0.010838,0.037221,0.000,0.464745,0.464429,-0.000315,-0.000455,0.010572,0.035084,0.250
1833,camera,487375,data/1_2024/shard-000477.tar,256x256,vertical,1.1541,1.094,0.7059,17.5,0,0,0.206109,0.206442,0.000334,0.000066,0.005467,0.044536,0.250,0.204129,0.206255,0.002126,0.002254,0.003629,0.038170,0.500,0.204036,0.206178,0.002142,0.002839,0.004037,0.039839,0.500
1834,camera,2821375,data/1_2024/shard-000477.tar,256x256,vertical,1.1180,1.625,0.9062,26.0,0,0,0.396200,0.396364,0.000164,0.003142,0.000483,0.038935,0.500,0.394131,0.395284,0.001153,0.002742,0.001054,0.032793,0.750,0.393060,0.394486,0.001426,0.003063,0.001020,0.031682,0.750
1835,camera,742375,data/1_2024/shard-000477.tar,256x256,vertical,1.1826,2.438,0.8824,39.0,0,0,0.442274,0.450765,0.008491,0.015024,0.019837,0.095558,0.500,0.440841,0.455231,0.014390,0.014355,0.014372,0.080815,0.750,0.437568,0.451143,0.013575,0.013527,0.013588,0.082658,0.750
1836,camera,4435375,data/1_2024/shard-000477.tar,256x256,vertical,1.2216,1.188,0.6508,19.0,0,0,0.488857,0.485874,-0.002983,-0.000189,-0.000998,0.054518,0.000,0.486937,0.487819,0.000882,-0.000780,-0.000073,0.033470,0.000,0.485819,0.485275,-0.000545,-0.000910,-0.000179,0.032686,0.250
1837,camera,5287375,data/1_2024/shard-000477.tar,256x256,vertical,1.2167,3.344,0.0650,-53.5,0,0,0.444066,0.436121,-0.007945,-0.002968,-0.004990,0.094141,0.000,0.440308,0.436922,-0.003386,-0.001746,-0.002786,0.053428,0.250,0.442096,0.438003,-0.004094,-0.002566,-0.004684,0.053027,0.250
1838,camera,3047375,data/1_2024/shard-000477.tar,256x256,vertical,1.2406,1.625,0.3116,-26.0,0,0,0.601430,0.601765,0.000334,0.000840,-0.001344,0.038317,0.500,0.602058,0.603152,0.001093,-0.000529,-0.000480,0.029756,0.500,0.602529,0.603084,0.000555,-0.000367,-0.000525,0.031230,0.750
1839,camera,897375,data/1_2024/shard-000477.tar,256x256,vertical,1.2531,3.562,0.1096,-57.0,0,0,0.836444,0.832043,-0.004401,0.006115,-0.004942,0.128714,0.250,0.826764,0.830968,0.004203,0.004417,0.000141,0.063491,0.250,0.827404,0.832758,0.005355,0.004574,0.001008,0.059549,0.500
1840,camera,2031375,data/1_2024/shard-000477.tar,256x256,vertical,1.2717,1.062,0.3924,-17.0,0,0,0.431046,0.427605,-0.003441,0.000493,-0.001557,0.029889,0.000,0.430254,0.427091,-0.003163,-0.000024,-0.002918,0.023443,0.000,0.432787,0.428905,-0.003882,0.000353,-0.003069,0.021645,0.000
1841,camera,5651375,data/1_2024/shard-000477.tar,256x256,vertical,1.1626,0.312,0.5556,5.0,0,0,0.657057,0.657229,0.000171,-0.000053,0.000719,0.013244,0.000,0.656106,0.657479,0.001373,0.000654,0.001587,0.021347,0.500,0.652848,0.657222,0.004375,0.002600,0.004523,0.034304,0.750
1842,camera,6207375,data/1_2024/shard-000477.tar,256x256,horizontal,1.3288,3.188,0.7602,51.0,0,0,0.662145,0.652733,-0.009412,0.000826,-0.009021,0.099840,0.000,0.659547,0.653485,-0.006062,-0.005018,-0.004880,0.053771,0.000,0.660818,0.654780,-0.006038,-0.003733,-0.004951,0.049578,0.500
1843,camera,6254375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,0.250,0.5377,4.0,0,0,0.693204,0.692279,-0.000925,0.000681,0.000624,0.015968,0.250,0.688287,0.690195,0.001908,0.000848,0.001506,0.011739,0.250,0.688506,0.690551,0.002045,0.000761,0.002528,0.010897,0.500
1844,camera,7069375,data/1_2024/shard-000477.tar,256x256,vertical,1.3020,3.875,0.8483,62.0,0,0,0.636857,0.632163,-0.004695,0.005077,-0.004186,0.112240,0.000,0.631831,0.632208,0.000377,0.000792,0.000762,0.045799,0.500,0.632468,0.633035,0.000567,0.001160,0.000537,0.039073,0.750
1845,camera,5098375,data/1_2024/shard-000477.tar,256x256,horizontal,1.1490,1.125,0.2805,-18.0,0,0,0.568572,0.570555,0.001983,0.000672,0.003932,0.048206,0.750,0.568900,0.572028,0.003128,0.000720,0.006328,0.031776,1.000,0.568438,0.571137,0.002699,-0.000450,0.006338,0.033984,0.250
1846,camera,3470375,data/1_2024/shard-000477.tar,256x256,vertical,1.2717,1.188,0.6203,19.0,0,0,0.185010,0.182371,-0.002639,-0.000671,0.000008,0.024850,0.000,0.181220,0.182155,0.000935,0.000686,0.001648,0.025100,0.250,0.180846,0.182595,0.001749,0.001936,0.002936,0.028204,0.500
