pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
169,data/1_2024/shard-000477.tar,1835503,START,mild,6,104,110,366,-49.0,-0.00315821170807,-0.000924997031689,-5.00231981277e-05,0.00644086301327,0.0126818269491,0.0128893777728,-0.00400774925947,0.000667423009872,-0.0033403262496,0.007529262,True
170,data/1_2024/shard-000477.tar,1848503,START,mild,12,73,85,341,-30.5,-0.00349614024162,-0.0020475462079,-0.00193825364113,0.0142268687487,0.0107429549098,0.00833804905415,0.00493250787258,0.00251419842243,0.00744670629501,0.026697412,False
171,data/1_2024/shard-000477.tar,1855375,START,medium,31,121,152,408,-45.0,0.000275403261185,0.000341489911079,-6.8187713623e-05,0.00217247009277,-0.000181883573532,-0.000338971614838,0.0024204403162,-0.000252589583397,0.0021678507328,0.003518065,True
172,data/1_2024/shard-000477.tar,1859503,START,mild,26,76,102,358,-25.0,0.000629097223282,-0.000822499394417,-0.000156477093697,0.000724449753761,0.00249943137169,0.00244045257568,-0.00322657823563,0.000725001096725,-0.0025015771389,0.001135781,True
173,data/1_2024/shard-000477.tar,1867503,START,mild,8,100,108,364,-46.0,0.00638750195503,0.00545404851437,0.00547684729099,0.00393530726433,0.0060650408268,0.00905495882034,-0.00306318700314,-0.00296711921692,-0.00603030622005,0.002752282,True
174,data/1_2024/shard-000477.tar,1873375,START,medium,27,144,171,427,-58.5,-4.42117452621e-05,0.00105075538158,0.00968739390373,0.00914891064167,0.0069629997015,0.00545967370272,0.00328087806702,0.0101399645209,0.0134208425879,0.000357345,True
175,data/1_2024/shard-000477.tar,1883503,START,mild,10,97,107,363,-43.5,-0.00472490489483,-0.00321717560291,-0.00210735201836,0.00476744771004,0.00321908295155,0.00352314114571,0.00305609405041,0.000805765390396,0.0038618594408,0.008165486,True
176,data/1_2024/shard-000477.tar,1895503,END,mild,25,77,102,358,-26.0,0.00268733501434,0.00100722163916,0.00281248986721,-0.00135643780231,0.00418449938297,0.0042776465416,-0.00722105056047,0.00171212106943,-0.00550892949104,0.004475757,True
177,data/1_2024/shard-000477.tar,1897503,END,mild,7,95,102,358,-44.0,0.00338891148567,0.000754535198212,0.000239744782448,0.0030509531498,0.00504845380783,0.00425514578819,-0.0046318769455,0.000278517603874,-0.00435335934162,0.009098835,False
178,data/1_2024/shard-000477.tar,1901503,END,medium,6,173,179,435,-83.5,-0.00466594845057,0.00416852533817,0.00469482690096,0.00609774142504,0.00319845974445,0.00223030894995,0.0117337554693,0.00149445235729,0.0132282078266,0.017208911,False
179,data/1_2024/shard-000477.tar,1903503,START,mild,16,86,102,358,-35.0,-0.0010039806366,0.0010816603899,0.00426499545574,-0.000211790204048,0.00473919510841,0.0127903819084,-0.00286534428596,-0.00486785173416,-0.00773319602013,0.019324236,False
180,data/1_2024/shard-000477.tar,1917375,END,mild,13,92,105,361,-39.5,0.00226804614067,0.00682500004768,0.00528357923031,0.00324988365173,-0.00169877707958,-0.00157010555267,0.00950561463833,-0.00167009234428,0.00783552229404,0.010768317,False
181,data/1_2024/shard-000477.tar,1925375,START,mild,1,105,106,362,-52.0,0.000231899321079,0.00220776349306,0.0028707459569,0.00864899158478,0.0268089398742,0.0267254635692,-0.0161840841174,0.000746458768845,-0.0154376253486,0.006129742,True
182,data/1_2024/shard-000477.tar,1928375,END,mild,6,77,83,339,-35.5,0.00299752503633,0.0018737912178,0.00365398079157,0.0153875499964,0.0116431266069,0.0134075134993,0.0026206895709,1.58026814461e-05,0.00263649225235,0.007321134,True
183,data/1_2024/shard-000477.tar,1946503,END,medium,25,89,114,370,-32.0,-0.000650897622108,0.000139757990837,0.000670999288559,0.00222067534924,0.00245463848114,0.00268134474754,0.000556692481041,0.000304535031319,0.00086122751236,0.010485776,False
184,data/1_2024/shard-000477.tar,1979503,START,mild,17,89,106,362,-36.0,-0.0002456381917,-0.00138383358717,-0.00236011296511,-0.0041511580348,-0.00109221041203,-0.000651247799397,-0.00419714301825,-0.00141724199057,-0.00561438500881,0.015118621,False
185,data/1_2024/shard-000477.tar,1983503,START,mild,15,87,102,358,-36.0,-0.00137016177177,0.000256240367889,0.000383108854294,0.00170765072107,0.00505404174328,0.00465933978558,-0.00171998888254,0.000521570444107,-0.00119841843843,0.011593401,False
186,data/1_2024/shard-000477.tar,1995375,START,medium,34,171,205,461,-68.5,-0.00138118863106,0.00123901665211,0.00115923583508,0.0061292052269,0.00248496234417,0.00241939723492,0.00626444816589,-1.42157077789e-05,0.00625023245811,0.034306459,False
187,data/1_2024/shard-000477.tar,2002503,END,mild,4,102,106,362,-49.0,-0.000479459762573,0.00246615707874,0.00270935893059,0.00192113220692,0.00263975560665,0.00325179100037,0.00222699344158,-0.00036883354187,0.00185815989971,0.00648579,True
